Device ID,Timestamp,Location,Good Count,Total Count,Planned Time,Operating Time,Ideal Cycle Time
PKG001,15-01-2024,Plant A,37548,43846,431,380,0.52
PKG002,15-01-2024,Plant A,30683,33671,406,376,0.67
PKG003,15-01-2024,Plant A,47879,51600,422,387,0.45
PKG004,15-01-2024,Plant B,46979,53466,458,401,0.45
PKG001,16-01-2024,Plant A,37881,39565,462,455,0.69
PKG002,16-01-2024,Plant A,26928,27416,383,329,0.72
PKG003,16-01-2024,Plant A,38265,42276,464,458,0.65
PKG004,16-01-2024,Plant B,34093,39529,466,448,0.68
PKG001,17-01-2024,Plant A,42904,44842,473,426,0.57
PKG002,17-01-2024,Plant B,45599,46178,439,431,0.56
PKG003,17-01-2024,Plant A,44837,50790,407,364,0.43
PKG004,17-01-2024,Plant A,40026,41200,413,412,0.6
PKG001,18-01-2024,Plant B,27761,30685,398,358,0.7
PKG002,18-01-2024,Plant B,27443,31783,405,392,0.74
PKG003,18-01-2024,Plant B,24472,28438,371,346,0.73
PKG004,18-01-2024,Plant B,39324,40608,478,467,0.69
PKG001,19-01-2024,Plant B,58370,59581,433,427,0.43
PKG002,19-01-2024,Plant A,24006,24545,371,315,0.77
PKG003,19-01-2024,Plant A,38103,39964,373,373,0.56
PKG004,19-01-2024,Plant B,37302,42000,399,343,0.49
PKG001,20-01-2024,Plant B,44950,46344,472,448,0.58
PKG002,20-01-2024,Plant B,27198,28692,415,373,0.78
PKG003,20-01-2024,Plant A,28322,30759,418,405,0.79
PKG004,20-01-2024,Plant A,33470,37377,408,380,0.61
PKG001,21-01-2024,Plant B,40979,46133,400,346,0.45
PKG002,21-01-2024,Plant B,29769,31432,385,351,0.67
PKG003,21-01-2024,Plant B,29137,30553,388,331,0.65
PKG004,21-01-2024,Plant B,42961,49363,417,362,0.44
PKG001,22-01-2024,Plant A,37582,42480,384,354,0.5
PKG002,22-01-2024,Plant B,30653,35657,449,416,0.7
PKG003,22-01-2024,Plant A,53350,55463,415,379,0.41
PKG004,22-01-2024,Plant A,34618,35238,371,370,0.63
PKG001,23-01-2024,Plant B,21741,25324,371,325,0.77
PKG002,23-01-2024,Plant B,32252,33428,448,429,0.77
PKG003,23-01-2024,Plant A,36393,41898,442,412,0.59
PKG004,23-01-2024,Plant B,32151,32689,361,316,0.58
PKG001,24-01-2024,Plant B,38235,39535,384,369,0.56
PKG002,24-01-2024,Plant B,37333,38237,380,376,0.59
PKG003,24-01-2024,Plant A,36523,40983,461,403,0.59
PKG004,24-01-2024,Plant B,31537,32521,385,374,0.69
PKG001,25-01-2024,Plant B,37824,43161,447,446,0.62
PKG002,25-01-2024,Plant A,33054,34153,402,370,0.65
PKG003,25-01-2024,Plant A,46412,50160,420,418,0.5
PKG004,25-01-2024,Plant A,37795,40075,399,354,0.53
PKG001,26-01-2024,Plant A,34716,35903,376,371,0.62
PKG002,26-01-2024,Plant A,33791,34411,390,390,0.68
PKG003,26-01-2024,Plant A,32814,33281,398,355,0.64
PKG004,26-01-2024,Plant A,38117,42089,477,470,0.67
PKG001,27-01-2024,Plant B,34498,38300,430,383,0.6
PKG002,27-01-2024,Plant A,40667,41142,457,432,0.63
PKG003,27-01-2024,Plant A,24747,26430,378,348,0.79
PKG004,27-01-2024,Plant B,30347,35408,428,419,0.71
PKG001,28-01-2024,Plant A,29555,30086,364,346,0.69
PKG002,28-01-2024,Plant A,30300,31769,450,413,0.78
PKG003,28-01-2024,Plant B,50665,51960,470,433,0.5
PKG004,28-01-2024,Plant B,37196,42000,449,448,0.64
PKG001,29-01-2024,Plant B,27202,31114,400,363,0.7
PKG002,29-01-2024,Plant B,38811,42724,466,413,0.58
PKG003,29-01-2024,Plant B,43405,48976,400,351,0.43
PKG004,29-01-2024,Plant A,46500,49666,456,447,0.54
PKG001,30-01-2024,Plant A,32608,36931,395,357,0.58
PKG002,30-01-2024,Plant B,36008,36857,455,430,0.7
PKG003,30-01-2024,Plant B,41515,44603,437,394,0.53
PKG004,30-01-2024,Plant B,26052,28632,386,377,0.79
PKG001,31-01-2024,Plant B,22179,25943,362,307,0.71
PKG002,31-01-2024,Plant B,28368,32000,368,336,0.63
PKG003,31-01-2024,Plant B,46646,52465,379,376,0.43
PKG004,31-01-2024,Plant A,43931,44476,467,467,0.63
PKG001,01-02-2024,Plant A,36165,36562,424,390,0.64
PKG002,01-02-2024,Plant B,30792,34636,381,381,0.66
PKG003,01-02-2024,Plant B,34189,35225,385,364,0.62
PKG004,01-02-2024,Plant B,48918,50884,444,441,0.52
PKG001,02-02-2024,Plant A,37313,43176,394,367,0.51
PKG002,02-02-2024,Plant A,43738,45107,453,421,0.56
PKG003,02-02-2024,Plant B,45200,45777,417,412,0.54
PKG004,02-02-2024,Plant B,31676,32704,439,387,0.71
PKG001,03-02-2024,Plant A,33388,35070,462,415,0.71
PKG002,03-02-2024,Plant A,45394,48840,450,407,0.5
PKG003,03-02-2024,Plant B,44203,45681,366,335,0.44
PKG004,03-02-2024,Plant A,33647,35552,434,397,0.67
PKG001,04-02-2024,Plant A,41766,45661,455,449,0.59
PKG002,04-02-2024,Plant B,32942,36327,377,333,0.55
PKG003,04-02-2024,Plant A,31447,33750,414,405,0.72
PKG004,04-02-2024,Plant A,31584,33193,361,343,0.62
PKG001,05-02-2024,Plant A,31637,35688,474,458,0.77
PKG002,05-02-2024,Plant B,36921,42666,416,384,0.54
PKG003,05-02-2024,Plant B,46665,49615,440,430,0.52
PKG004,05-02-2024,Plant A,51910,56750,461,454,0.48
PKG001,06-02-2024,Plant A,44242,49730,441,431,0.52
PKG002,06-02-2024,Plant B,33652,36295,397,369,0.61
PKG003,06-02-2024,Plant B,40729,45238,475,475,0.63
PKG004,06-02-2024,Plant A,38745,42346,410,367,0.52
PKG001,07-02-2024,Plant B,30251,34000,379,323,0.57
PKG002,07-02-2024,Plant B,37480,37941,432,430,0.68
PKG003,07-02-2024,Plant B,32412,34500,457,414,0.72
PKG004,07-02-2024,Plant B,31741,34702,464,428,0.74
PKG001,08-02-2024,Plant B,43548,46186,387,331,0.43
PKG002,08-02-2024,Plant B,38580,42184,479,457,0.65
PKG003,08-02-2024,Plant A,32281,36300,416,363,0.6
PKG004,08-02-2024,Plant B,44987,52040,478,425,0.49
PKG001,09-02-2024,Plant A,57095,65853,454,450,0.41
PKG002,09-02-2024,Plant B,45766,50716,459,448,0.53
PKG003,09-02-2024,Plant A,32802,35921,466,455,0.76
PKG004,09-02-2024,Plant A,23847,26640,379,333,0.75
PKG001,10-02-2024,Plant B,28751,31670,455,417,0.79
PKG002,10-02-2024,Plant B,41145,48146,368,329,0.41
PKG003,10-02-2024,Plant B,33973,39272,397,360,0.55
PKG004,10-02-2024,Plant B,40692,44357,426,414,0.56
PKG001,11-02-2024,Plant B,40068,44655,472,454,0.61
PKG002,11-02-2024,Plant B,53169,54125,443,433,0.48
PKG003,11-02-2024,Plant B,42324,49142,377,344,0.42
PKG004,11-02-2024,Plant A,40885,42000,453,420,0.6
PKG001,12-02-2024,Plant B,32468,35917,463,437,0.73
PKG002,12-02-2024,Plant A,36296,37444,371,337,0.54
PKG003,12-02-2024,Plant A,35938,40222,384,362,0.54
PKG004,12-02-2024,Plant A,44133,48600,456,405,0.5
PKG001,13-02-2024,Plant A,39002,44542,479,438,0.59
PKG002,13-02-2024,Plant A,41530,42300,459,423,0.6
PKG003,13-02-2024,Plant B,24898,29142,376,340,0.7
PKG004,13-02-2024,Plant A,36874,37605,470,445,0.71
PKG001,14-02-2024,Plant A,45497,46555,437,419,0.54
PKG002,14-02-2024,Plant B,29453,32704,397,387,0.71
PKG003,14-02-2024,Plant B,27928,30710,426,389,0.76
PKG004,14-02-2024,Plant A,44873,51545,392,378,0.44
PKG001,15-02-2024,Plant B,60389,62651,463,449,0.43
PKG002,15-02-2024,Plant B,26306,28207,364,362,0.77
PKG003,15-02-2024,Plant A,38419,44454,375,326,0.44
PKG004,15-02-2024,Plant B,51659,54000,475,441,0.49
PKG001,16-02-2024,Plant A,32537,34819,380,354,0.61
PKG002,16-02-2024,Plant A,40985,43272,478,476,0.66
PKG003,16-02-2024,Plant B,41046,48244,426,394,0.49
PKG004,16-02-2024,Plant B,32685,34216,428,422,0.74
PKG001,17-02-2024,Plant A,36967,37588,448,426,0.68
PKG002,17-02-2024,Plant A,27876,29583,379,355,0.72
PKG003,17-02-2024,Plant A,36279,37852,479,429,0.68
PKG004,17-02-2024,Plant B,26252,29666,387,356,0.72
PKG001,18-02-2024,Plant A,27419,30389,420,390,0.77
PKG002,18-02-2024,Plant B,39659,44938,395,367,0.49
PKG003,18-02-2024,Plant A,60646,65000,477,455,0.42
PKG004,18-02-2024,Plant A,29659,34640,445,433,0.75
PKG001,19-02-2024,Plant B,28285,30769,426,400,0.78
PKG002,19-02-2024,Plant A,35943,41904,477,440,0.63
PKG003,19-02-2024,Plant B,50109,51000,388,357,0.42
PKG004,19-02-2024,Plant A,54308,55224,456,451,0.49
PKG001,20-02-2024,Plant A,37194,43680,395,364,0.5
PKG002,20-02-2024,Plant B,29494,32918,425,406,0.74
PKG003,20-02-2024,Plant B,31634,34481,459,454,0.79
PKG004,20-02-2024,Plant B,24304,28153,404,366,0.78
PKG001,21-02-2024,Plant B,33087,38166,471,458,0.72
PKG002,21-02-2024,Plant A,25038,26400,361,330,0.75
PKG003,21-02-2024,Plant B,39892,41904,473,440,0.63
PKG004,21-02-2024,Plant B,30485,34567,401,386,0.67
PKG001,22-02-2024,Plant B,40800,45061,380,368,0.49
PKG002,22-02-2024,Plant B,53325,53875,476,431,0.48
PKG003,22-02-2024,Plant B,41484,47884,418,415,0.52
PKG004,22-02-2024,Plant A,37118,38686,438,432,0.67
PKG001,23-02-2024,Plant A,31212,35900,413,359,0.6
PKG002,23-02-2024,Plant B,46578,47125,403,377,0.48
PKG003,23-02-2024,Plant B,33831,39777,418,358,0.54
PKG004,23-02-2024,Plant B,30133,33042,399,391,0.71
PKG001,24-02-2024,Plant A,38772,43555,449,392,0.54
PKG002,24-02-2024,Plant B,47003,51480,442,429,0.5
PKG003,24-02-2024,Plant B,40601,45000,407,390,0.52
PKG004,24-02-2024,Plant B,46536,50800,435,381,0.45
PKG001,25-02-2024,Plant B,36982,40526,413,385,0.57
PKG002,25-02-2024,Plant A,50853,58390,406,399,0.41
PKG003,25-02-2024,Plant B,33792,34342,467,435,0.76
PKG004,25-02-2024,Plant A,37350,39700,438,397,0.6
PKG001,26-02-2024,Plant A,38187,38655,407,393,0.61
PKG002,26-02-2024,Plant A,29282,29680,429,371,0.75
PKG003,26-02-2024,Plant A,32979,37885,468,442,0.7
PKG004,26-02-2024,Plant B,32921,35840,457,448,0.75
PKG001,27-02-2024,Plant B,52478,60731,455,415,0.41
PKG002,27-02-2024,Plant B,30793,33949,456,447,0.79
PKG003,27-02-2024,Plant B,47439,52595,443,412,0.47
PKG004,27-02-2024,Plant B,31541,36089,425,403,0.67
PKG001,28-02-2024,Plant B,29521,34593,379,369,0.64
PKG002,28-02-2024,Plant A,57081,58227,480,427,0.44
PKG003,28-02-2024,Plant A,27445,29351,400,362,0.74
PKG004,28-02-2024,Plant B,34974,39000,389,351,0.54
PKG001,29-02-2024,Plant A,42498,48391,431,371,0.46
PKG002,29-02-2024,Plant B,27850,32363,396,356,0.66
PKG003,29-02-2024,Plant B,34434,39647,388,337,0.51
PKG004,29-02-2024,Plant B,46222,52415,479,463,0.53
PKG001,01-03-2024,Plant A,28266,31890,402,388,0.73
PKG002,01-03-2024,Plant A,44586,51000,443,425,0.5
PKG003,01-03-2024,Plant B,33553,37153,380,322,0.52
PKG004,01-03-2024,Plant A,32538,35275,367,341,0.58
PKG001,02-03-2024,Plant B,43663,47320,453,418,0.53
PKG002,02-03-2024,Plant B,29545,30626,393,342,0.67
PKG003,02-03-2024,Plant A,24710,27000,387,333,0.74
PKG004,02-03-2024,Plant B,37591,41578,403,395,0.57
PKG001,03-03-2024,Plant B,43213,50000,460,450,0.54
PKG002,03-03-2024,Plant B,35379,41213,461,419,0.61
PKG003,03-03-2024,Plant A,30560,33044,413,369,0.67
PKG004,03-03-2024,Plant A,47303,54681,435,401,0.44
PKG001,04-03-2024,Plant A,50145,54893,442,430,0.47
PKG002,04-03-2024,Plant A,41802,48240,444,402,0.5
PKG003,04-03-2024,Plant B,30796,35447,454,449,0.76
PKG004,04-03-2024,Plant B,34613,39058,375,332,0.51
PKG001,05-03-2024,Plant A,35668,41411,365,352,0.51
PKG002,05-03-2024,Plant B,25768,29538,426,384,0.78
PKG003,05-03-2024,Plant B,42018,44032,471,455,0.62
PKG004,05-03-2024,Plant B,30090,30476,376,320,0.63
PKG001,06-03-2024,Plant B,38719,41800,444,418,0.6
PKG002,06-03-2024,Plant B,27921,32000,391,368,0.69
PKG003,06-03-2024,Plant B,36848,37684,378,358,0.57
PKG004,06-03-2024,Plant B,33236,35803,370,364,0.61
PKG001,07-03-2024,Plant A,55713,57150,428,381,0.4
PKG002,07-03-2024,Plant A,34084,36441,423,413,0.68
PKG003,07-03-2024,Plant A,36763,38421,392,365,0.57
PKG004,07-03-2024,Plant B,32389,33405,442,412,0.74
PKG001,08-03-2024,Plant B,32022,33272,401,366,0.66
PKG002,08-03-2024,Plant B,39173,43800,465,438,0.6
PKG003,08-03-2024,Plant A,47495,48117,451,409,0.51
PKG004,08-03-2024,Plant A,36050,37714,455,440,0.7
PKG001,09-03-2024,Plant A,27229,29917,389,364,0.73
PKG002,09-03-2024,Plant B,35315,39222,362,353,0.54
PKG003,09-03-2024,Plant B,22961,25500,364,306,0.72
PKG004,09-03-2024,Plant A,28691,33264,425,377,0.68
PKG001,10-03-2024,Plant A,37270,40500,470,459,0.68
PKG002,10-03-2024,Plant B,26527,29583,376,355,0.72
PKG003,10-03-2024,Plant A,59393,60428,448,423,0.42
PKG004,10-03-2024,Plant B,41775,43200,375,324,0.45
PKG001,11-03-2024,Plant B,25917,27076,376,352,0.78
PKG002,11-03-2024,Plant B,41749,47489,399,372,0.47
PKG003,11-03-2024,Plant B,34898,40842,403,388,0.57
PKG004,11-03-2024,Plant B,51329,52744,420,378,0.43
PKG001,12-03-2024,Plant B,42658,45827,445,443,0.58
PKG002,12-03-2024,Plant B,46254,50000,421,400,0.48
PKG003,12-03-2024,Plant B,37581,41892,391,391,0.56
PKG004,12-03-2024,Plant A,50218,56590,421,415,0.44
PKG001,13-03-2024,Plant B,40078,42000,389,343,0.49
PKG002,13-03-2024,Plant B,33548,36729,467,453,0.74
PKG003,13-03-2024,Plant A,34532,35000,480,455,0.78
PKG004,13-03-2024,Plant A,35549,41806,471,432,0.62
PKG001,14-03-2024,Plant A,56582,65714,478,460,0.42
PKG002,14-03-2024,Plant B,40035,42203,471,415,0.59
PKG003,14-03-2024,Plant B,47006,50666,473,456,0.54
PKG004,14-03-2024,Plant B,32304,34338,388,372,0.65
PKG001,15-03-2024,Plant A,24400,28058,367,318,0.68
PKG002,15-03-2024,Plant A,42169,44823,435,381,0.51
PKG003,15-03-2024,Plant B,31634,34363,410,378,0.66
PKG004,15-03-2024,Plant A,33234,36295,390,369,0.61
PKG001,16-03-2024,Plant A,25610,26727,386,343,0.77
PKG002,16-03-2024,Plant B,51804,60638,479,475,0.47
PKG003,16-03-2024,Plant B,25799,30000,425,365,0.73
PKG004,16-03-2024,Plant B,50001,52800,475,440,0.5
PKG001,17-03-2024,Plant B,34756,37627,394,370,0.59
PKG002,17-03-2024,Plant B,32125,37135,477,458,0.74
PKG003,17-03-2024,Plant B,48721,53086,418,407,0.46
PKG004,17-03-2024,Plant A,38500,45054,435,413,0.55
PKG001,18-03-2024,Plant A,28192,32655,378,332,0.61
PKG002,18-03-2024,Plant A,41079,41608,362,319,0.46
PKG003,18-03-2024,Plant A,40258,41684,410,396,0.57
PKG004,18-03-2024,Plant B,39850,42761,452,449,0.63
PKG001,19-03-2024,Plant B,43271,49153,448,426,0.52
PKG002,19-03-2024,Plant B,30215,33486,413,413,0.74
PKG003,19-03-2024,Plant B,54253,54818,415,402,0.44
PKG004,19-03-2024,Plant A,29054,32615,467,424,0.78
PKG001,20-03-2024,Plant A,34400,37178,403,347,0.56
PKG002,20-03-2024,Plant A,27671,30166,384,362,0.72
PKG003,20-03-2024,Plant B,29425,32285,362,339,0.63
PKG004,20-03-2024,Plant A,31304,36666,414,385,0.63
PKG001,21-03-2024,Plant B,39804,45250,416,362,0.48
PKG002,21-03-2024,Plant A,48619,50086,386,384,0.46
PKG003,21-03-2024,Plant A,38023,43619,466,458,0.63
PKG004,21-03-2024,Plant A,50292,54125,464,433,0.48
PKG001,22-03-2024,Plant B,42892,47375,433,379,0.48
PKG002,22-03-2024,Plant A,36112,36789,466,466,0.76
PKG003,22-03-2024,Plant B,24695,27113,397,357,0.79
PKG004,22-03-2024,Plant A,28451,33142,389,348,0.63
PKG001,23-03-2024,Plant A,28316,31746,477,418,0.79
PKG002,23-03-2024,Plant A,27598,32142,395,375,0.7
PKG003,23-03-2024,Plant A,46770,50222,480,452,0.54
PKG004,23-03-2024,Plant B,37250,39355,438,387,0.59
PKG001,24-03-2024,Plant B,35220,38100,397,381,0.6
PKG002,24-03-2024,Plant A,41039,42483,451,439,0.62
PKG003,24-03-2024,Plant A,30937,31523,377,331,0.63
PKG004,24-03-2024,Plant B,40968,44869,404,344,0.46
PKG001,25-03-2024,Plant A,29875,31098,380,368,0.71
PKG002,25-03-2024,Plant B,47746,51500,459,412,0.48
PKG003,25-03-2024,Plant A,41926,43578,425,414,0.57
PKG004,25-03-2024,Plant B,35933,42095,479,442,0.63
PKG001,26-03-2024,Plant B,35780,39085,477,456,0.7
PKG002,26-03-2024,Plant A,27044,31130,385,358,0.69
PKG003,26-03-2024,Plant A,31987,34178,374,319,0.56
PKG004,26-03-2024,Plant B,41216,47888,458,431,0.54
PKG001,27-03-2024,Plant B,51412,57795,472,472,0.49
PKG002,27-03-2024,Plant A,54519,56727,423,416,0.44
PKG003,27-03-2024,Plant A,29573,30716,365,343,0.67
PKG004,27-03-2024,Plant B,43233,43758,423,423,0.58
PKG001,28-03-2024,Plant B,36789,37500,436,425,0.68
PKG002,28-03-2024,Plant B,42574,45413,461,439,0.58
PKG003,28-03-2024,Plant B,36407,41906,472,447,0.64
PKG004,28-03-2024,Plant B,52675,57906,455,415,0.43
PKG001,29-03-2024,Plant A,42749,49333,423,370,0.45
PKG002,29-03-2024,Plant A,33550,37645,416,389,0.62
PKG003,29-03-2024,Plant B,29722,34125,475,455,0.8
PKG004,29-03-2024,Plant A,31720,33176,423,376,0.68
PKG001,30-03-2024,Plant B,28978,31263,448,396,0.76
PKG002,30-03-2024,Plant A,27949,29142,380,374,0.77
PKG003,30-03-2024,Plant A,49031,53217,416,408,0.46
PKG004,30-03-2024,Plant A,33154,33891,467,418,0.74
PKG001,31-03-2024,Plant B,34868,36857,429,387,0.63
PKG002,31-03-2024,Plant A,33531,35500,443,426,0.72
PKG003,31-03-2024,Plant A,41800,48315,473,459,0.57
PKG004,31-03-2024,Plant A,28349,31476,362,341,0.65
PKG001,01-04-2024,Plant B,32674,37344,419,361,0.58
PKG002,01-04-2024,Plant B,35134,39600,370,330,0.5
PKG003,01-04-2024,Plant A,58257,58883,471,422,0.43
PKG004,01-04-2024,Plant B,30457,33827,362,327,0.58
PKG001,02-04-2024,Plant B,32905,34707,433,376,0.65
PKG002,02-04-2024,Plant B,36021,36545,403,402,0.66
PKG003,02-04-2024,Plant A,32392,34083,444,409,0.72
PKG004,02-04-2024,Plant A,28388,32750,452,393,0.72
PKG001,03-04-2024,Plant A,47343,51951,361,355,0.41
PKG002,03-04-2024,Plant A,25935,29432,402,363,0.74
PKG003,03-04-2024,Plant B,47030,52851,422,414,0.47
PKG004,03-04-2024,Plant A,38526,40071,414,374,0.56
PKG001,04-04-2024,Plant A,31622,32782,396,377,0.69
PKG002,04-04-2024,Plant B,30256,31342,406,397,0.76
PKG003,04-04-2024,Plant B,28795,32600,377,326,0.6
PKG004,04-04-2024,Plant B,37252,42830,468,464,0.65
PKG001,05-04-2024,Plant A,42526,45365,363,310,0.41
PKG002,05-04-2024,Plant A,37958,44307,428,384,0.52
PKG003,05-04-2024,Plant B,31291,36169,464,428,0.71
PKG004,05-04-2024,Plant A,39605,44338,438,436,0.59
PKG001,06-04-2024,Plant B,52552,58536,458,400,0.41
PKG002,06-04-2024,Plant A,29460,31500,387,336,0.64
PKG003,06-04-2024,Plant B,46232,53755,479,439,0.49
PKG004,06-04-2024,Plant A,51411,52046,411,373,0.43
PKG001,07-04-2024,Plant A,36563,39294,365,334,0.51
PKG002,07-04-2024,Plant A,60952,63073,451,431,0.41
PKG003,07-04-2024,Plant A,47188,48913,385,375,0.46
PKG004,07-04-2024,Plant B,36109,37868,393,385,0.61
PKG001,08-04-2024,Plant A,40951,42380,459,445,0.63
PKG002,08-04-2024,Plant B,39928,42203,467,415,0.59
PKG003,08-04-2024,Plant B,31157,32493,456,417,0.77
PKG004,08-04-2024,Plant A,52003,60428,451,423,0.42
PKG001,09-04-2024,Plant A,53606,54878,421,375,0.41
PKG002,09-04-2024,Plant A,42753,46372,461,456,0.59
PKG003,09-04-2024,Plant B,30275,35283,413,394,0.67
PKG004,09-04-2024,Plant B,50546,57512,441,393,0.41
PKG001,10-04-2024,Plant B,58220,59086,457,453,0.46
PKG002,10-04-2024,Plant A,28023,29478,399,339,0.69
PKG003,10-04-2024,Plant A,31188,34131,402,347,0.61
PKG004,10-04-2024,Plant A,35141,40444,384,364,0.54
PKG001,11-04-2024,Plant A,43523,50192,441,435,0.52
PKG002,11-04-2024,Plant A,37533,43269,400,375,0.52
PKG003,11-04-2024,Plant A,35052,37432,476,418,0.67
PKG004,11-04-2024,Plant A,29842,34588,432,392,0.68
PKG001,12-04-2024,Plant B,38327,44200,448,442,0.6
PKG002,12-04-2024,Plant A,62007,67317,472,460,0.41
PKG003,12-04-2024,Plant A,44639,51000,428,374,0.44
PKG004,12-04-2024,Plant B,37688,41076,475,445,0.65
PKG001,13-04-2024,Plant B,45309,52909,439,388,0.44
PKG002,13-04-2024,Plant A,27980,29828,395,348,0.7
PKG003,13-04-2024,Plant A,36447,37523,449,394,0.63
PKG004,13-04-2024,Plant B,35394,35906,435,383,0.64
PKG001,14-04-2024,Plant B,29514,31670,465,417,0.79
PKG002,14-04-2024,Plant A,27064,30405,405,375,0.74
PKG003,14-04-2024,Plant B,30125,31875,367,340,0.64
PKG004,14-04-2024,Plant B,38802,40875,471,436,0.64
PKG001,15-04-2024,Plant A,32461,37607,393,351,0.56
PKG002,15-04-2024,Plant A,37972,43909,375,322,0.44
PKG003,15-04-2024,Plant A,33621,39529,480,448,0.68
PKG004,15-04-2024,Plant A,36840,38678,375,361,0.56
PKG001,16-04-2024,Plant A,36717,39789,395,378,0.57
PKG002,16-04-2024,Plant B,30511,31068,435,378,0.73
PKG003,16-04-2024,Plant B,58799,59441,453,426,0.43
PKG004,16-04-2024,Plant A,57088,64285,456,450,0.42
PKG001,17-04-2024,Plant A,31387,34545,417,380,0.66
PKG002,17-04-2024,Plant A,28438,31822,470,419,0.79
PKG003,17-04-2024,Plant B,37186,41000,420,410,0.6
PKG004,17-04-2024,Plant A,31698,33616,435,409,0.73
PKG001,18-04-2024,Plant B,51171,59285,420,415,0.42
PKG002,18-04-2024,Plant B,30122,31135,393,384,0.74
PKG003,18-04-2024,Plant B,36804,37181,414,409,0.66
PKG004,18-04-2024,Plant B,48464,52826,447,405,0.46
PKG001,19-04-2024,Plant A,53073,59181,453,434,0.44
PKG002,19-04-2024,Plant B,27322,28725,431,383,0.8
PKG003,19-04-2024,Plant A,34985,38262,420,389,0.61
PKG004,19-04-2024,Plant A,44811,45529,430,387,0.51
PKG001,20-04-2024,Plant A,55199,58468,463,458,0.47
PKG002,20-04-2024,Plant B,31108,34173,425,393,0.69
PKG003,20-04-2024,Plant A,33622,38535,477,456,0.71
PKG004,20-04-2024,Plant B,33646,34342,459,435,0.76
PKG001,21-04-2024,Plant A,52441,60697,445,435,0.43
PKG002,21-04-2024,Plant B,35462,36705,454,416,0.68
PKG003,21-04-2024,Plant B,30307,33075,472,441,0.8
PKG004,21-04-2024,Plant B,24559,28597,413,367,0.77
